"time","hazard","cumulative_hazard"
0,0.00156780631195632,0.00156780631195632
1,0.00273478903126322,0.00430259534321954
2,0.00165006749967682,0.00595266284289635
3,0.000790953417449124,0.00674361626034548
4,0.000645307624262504,0.00738892388460798
5,0.000645845046292323,0.00803476893090031
6,0.00052886896055784,0.00856363789145815
7,0.000529274482310285,0.00909291237376843
8,0.000529601886205161,0.00962251425997359
9,0.000633183289289371,0.010255697549263
10,0.000648295045963664,0.0109039925952266
11,0.000442465041209365,0.011346457636436
12,0.000339431318099806,0.0116858889545358
13,0.000280538488826004,0.0119664274433618
14,0.000324940736898463,0.0122913681802603
15,0.000413789794534707,0.012705157974795
16,0.000369657547943183,0.0130748155227382
17,0.000221932200259834,0.013296747722998
18,0.000266425961936097,0.0135631736849341
19,0.000281310555516796,0.0138444842404509
20,0.000177754922926892,0.0140222391633778
21,0.000133351040023287,0.0141555902034011
22,0.000148199130105673,0.0143037893335067
23,0.000207522336805141,0.0145113116703119
24,0.000222405495338345,0.0147337171656502
25,0.000266976225705814,0.015000693391356
26,0.000252213960399251,0.0152529073517553
27,0.000178119547585332,0.0154310268993406
28,0.000237598484457015,0.0156686253837976
29,0.000252541363764677,0.0159211667475623
30,0.00016347630997857,0.0160846430575409
31,0.000193265556911772,0.0162779086144526
32,0.000252790451374718,0.0165306990658274
33,0.000178496334459599,0.016709195400287
34,8.92725346572157e-05,0.0167984679349442
35,0.000193458185138037,0.0169919261200822
36,0.000253042089074212,0.0172449682091564
37,0.00016381871157314,0.0174087869207296
38,0.000134067200621122,0.0175428541213507
39,0.000104298004050672,0.0176471521254014
40,0.000119219304364555,0.0177663714297659
41,0.000134139578419495,0.0179005110081854
42,0.000104349950409279,0.0180048609585947
43,0.000178917100556869,0.0181837780591516
44,0.000149110545726926,0.0183328886048785
45,0.000134265211984806,0.0184671538168633
46,0.000238734990358112,0.0187058888072214
47,0.000179106216896142,0.0188849950241175
48,0.00016424960024719,0.0190492446243647
49,0.000149347473230241,0.019198592097595
50,0.000119522812368898,0.0193181149099639
51,0.000134488116269309,0.0194526030262332
52,0.000149469007133078,0.0196020720333663
53,0.000164456789832339,0.0197665288231986
54,0.000149559546977873,0.0199160883701765
55,0.000209432382641636,0.0201255207528181
56,0.000179545889506749,0.0203050666423249
57,0.000164671025433286,0.0204697376677581
58,0.000164698921705508,0.0206344365894637
59,0.000119829870829941,0.0207542664602936
60,0.000119848006740617,0.0208741144670342
61,0.000164840241423402,0.0210389547084576
62,0.000149872523949813,0.0211888272324074
63,7.49573913202579e-05,0.0212637846237277
